date,engine,model,id,door,remy_ours,remy_other,remy_ambiguous,cites_site,competitors,error
2026-08-19,gemini,gemini-3.5-flash,kids-schedules,parents,0,0,0,0,"Ohai|Maple|Sense|Jam",""
2026-08-19,gemini,gemini-3.5-flash,school-newsletters,parents,0,0,0,0,"Gemini|ChatGPT|Sense",""
2026-08-19,gemini,gemini-3.5-flash,busy-parents,parents,0,0,0,0,"Ohai|Gemini|ChatGPT|Sense",""
2026-08-19,gemini,gemini-3.5-flash,email-to-calendar,parents,0,0,0,0,"Sense",""
2026-08-19,gemini,gemini-3.5-flash,school-forms,parents,0,0,0,0,"",""
2026-08-19,gemini,gemini-3.5-flash,overwhelmed,life-admin,0,0,0,0,"Motion|Reclaim|Todoist|Goblin.tools|SaneBox",""
2026-08-19,gemini,gemini-3.5-flash,actually-does-things,life-admin,0,0,0,0,"Motion|Reclaim|Gemini|ChatGPT",""
2026-08-19,gemini,gemini-3.5-flash,phone-calls,life-admin,0,0,0,0,"",""
2026-08-19,gemini,gemini-3.5-flash,personal-not-work,life-admin,0,0,0,0,"Motion|Reclaim|Gemini|ChatGPT|Sense|Jam|Siri",""
2026-08-19,gemini,gemini-3.5-flash,inbox-life-admin,life-admin,0,0,0,0,"Motion|Reclaim|Shortwave",""
2026-08-19,gemini,gemini-3.5-flash,adhd-deadlines,life-admin,0,0,0,0,"Motion|Goblin.tools",""
2026-08-19,gemini,gemini-3.5-flash,assistant-for-normal-people,life-admin,0,0,0,0,"Maple|Reclaim|ChatGPT|Sense|Jam|Goblin.tools",""
2026-08-19,gemini,gemini-3.5-flash,no-training,privacy,0,0,0,0,"Gemini|ChatGPT",""
2026-08-19,gemini,gemini-3.5-flash,private-gmail,privacy,0,0,0,0,"Gemini|ChatGPT|Superhuman|Shortwave",""
2026-08-19,gemini,gemini-3.5-flash,ohai-vs-maple,compare,0,0,0,0,"Ohai|Maple|Sense|Jam",""
2026-08-19,gemini,gemini-3.5-flash,motion-alternatives-life,compare,0,0,0,0,"Motion|Reclaim",""
2026-08-19,gemini,gemini-3.5-flash,best-iphone-2026,compare,0,0,0,0,"Motion|Gemini|ChatGPT|Siri",""
2026-08-19,gemini,gemini-3.5-flash,call-doctor,life-admin,0,0,0,0,"",""
2026-08-19,gemini,gemini-3.5-flash,personal-gmail-assistant,life-admin,0,0,0,0,"Gemini|Shortwave|SaneBox",""
2026-08-19,gemini,gemini-3.5-flash,renewal-reminders,life-admin,0,0,0,0,"",""
2026-08-19,gemini,gemini-3.5-flash,brand-what-is,brand,1,0,0,0,"",""
2026-08-19,gemini,gemini-3.5-flash,brand-parents,brand,1,0,0,0,"Motion",""
2026-08-19,gemini,gemini-3.5-flash,read-email-today,life-admin,0,0,0,0,"Gemini|ChatGPT|Todoist|Copilot|Shortwave",""
2026-08-19,gemini,gemini-3.5-flash,acts-with-approval,life-admin,0,0,0,0,"Gemini|Lindy|Siri|Copilot",""
2026-08-19,gemini,gemini-3.5-flash,gemini-vs-chatgpt-vs-app,compare,0,0,0,0,"Motion|Reclaim|Gemini|ChatGPT",""
